Name,pslist,pstree,psxview,dlllist,handles,ldrmodules,svcscan,cmdline,Category
physmem15.raw,Netwire.exe,The parent process is Netwire.exe,NetWire.exe,No unique dllls,No unique handles,No unique ldrmodules,No unique services,"NetWire.exe executed the Command line : ""C:\Users\User\Downloads\NetWire.exe""",Fileless
physmem16.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                            The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe   ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE    ,Benign
physmem17.raw,WINWORD.exe                               cmd.exe,The parent process is WINWORD.exe                                                                                                                        The child process of WINWORD.exe is cmd.exe,WINWORD.exe                                                cmd.exe,No unique dllls,No unique handles,No unique ldrmodules,vssvc.exe,"WINWORD.exe executed the Command line : ""C:\Program Files\MicrosoftOffice\Root\Office16\WINWORD.exe"" /n ""C:\Users\User\Downloads\Emerg_n_yexitm_.doc",Fileless
physmem18.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                             The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe   ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE   ,Benign
physmem19.raw,No unique processes,No unique parent and child processes,No unique hidden processes,No unique dllls,No unique handles,No unique ldrmodules,No unique services,No unique commands run,Fileless
physmem20.raw,No unique processes,No unique parent and child processes,No unique hidden processes,No unique dllls,No unique handles,No unique ldrmodules,No unique services,No unique commands run,Fileless
physmem21.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                           The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe  ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE   ,Benign
physmem22.raw,No unique processes,No unique parent and child processes,No unique hidden processes,No unique dllls,No unique handles,No unique ldrmodules,No unique services,No unique commands run,Fileless
physmem23.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                            The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe  ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE   ,Benign
physmem24.raw,No unique processes,No unique parent and child processes,No unique hidden processes,ADVAPI32.dll               KERNEL32.dll                 MSVCRT.dll                 SHELL32.dll                    SHLWAPI.dll              USER32.dll                 WININET.dll                  ntdll.dll                             ole32.dll,No unique handles,ADVAPI32.dll               KERNEL32.dll                 MSVCRT.dll                 SHELL32.dll                    SHLWAPI.dll              USER32.dll                 WININET.dll                  ntdll.dll                             ole32.dll,No unique services,No unique commands run,Fileless
physmem25.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                               The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe  ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE   ,Benign
physmem26.raw,No unique processes,No unique parent and child processes,No unique hidden processes,ADVAPI32.dll               KERNEL32.dll                 MSVCRT.dll                 SHELL32.dll                    SHLWAPI.dll              USER32.dll                 WININET.dll                  ntdll.dll                             ole32.dll,No unique handles,ADVAPI32.dll               KERNEL32.dll                 MSVCRT.dll                 SHELL32.dll                    SHLWAPI.dll              USER32.dll                 WININET.dll                  ntdll.dll                             ole32.dll,No unique services,No unique commands run,Fileless
physmem27.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                           The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe  ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe    ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE   ,Benign
